id,capability,category,first_seen,last_seen,domain,stated_status_in_source,backlog_row,prompt_ids
INV1-0001,"P195 — merging the byte-identical owner groups, and the two traps in doing it (2026-08-27)",identity,docs/architecture/entity-identity-and-dedup.md:79 (2026-08-27),docs/architecture/entity-identity-and-dedup.md:79 (2026-08-27),lcc,stated: unspecified (finding/round note),,P195
INV1-0002,"N15c — `entities.canonical_name` has ONE writer, and the census was wrong twice (2026-08-27)",identity,docs/architecture/entity-identity-and-dedup.md:143 (2026-08-27),docs/architecture/entity-identity-and-dedup.md:143 (2026-08-27),lcc,stated: unspecified (finding/round note),,N15c
INV1-0003,"N15d + N15e — the producer proof, and the 537 recomputed (2026-08-27)",ingestion,docs/architecture/entity-identity-and-dedup.md:253 (2026-08-27),docs/architecture/entity-identity-and-dedup.md:253 (2026-08-27),lcc,stated: unspecified (finding/round note),,N15d;N15e
INV1-0004,PR5c-entities-b-dupes — `domain` was scoping the IDENTITY key (2026-09-02),identity,docs/architecture/entity-identity-and-dedup.md:315 (2026-09-02),docs/architecture/entity-identity-and-dedup.md:315 (2026-09-02),lcc,stated: unspecified (finding/round note),,
INV1-0005,"PR5c-entities-c — the fix landed on ONE of two tiers, and the sibling must NOT be ""fixed"" (2026-09-03)",identity,docs/architecture/entity-identity-and-dedup.md:376 (2026-09-03),docs/architecture/entity-identity-and-dedup.md:376 (2026-09-03),lcc,stated: unspecified (finding/round note),,
INV1-0006,"PR5c-entities-c-review + -oldest — the plan, and the reversal path that reported success (2026-09-03)",identity,docs/architecture/entity-identity-and-dedup.md:437 (2026-09-03),docs/architecture/entity-identity-and-dedup.md:437 (2026-09-03),lcc,stated: unspecified (finding/round note),,
INV1-0007,"Research Workbench (UX-T1b, 2026-09-08)",surfaces,docs/architecture/research-workbench.md:1 (2026-09-08),docs/architecture/research-workbench.md:1 (2026-09-08),lcc,stated: unspecified (finding/round note),,UX-T1b
INV1-0008,AI next-step engine — Phase 1 BUILT (delta on ai-next-step-engine-scope.md),docs & process,docs/architecture/ai-next-step-engine-PHASE1-BUILT.md:1,docs/architecture/ai-next-step-engine-PHASE1-BUILT.md:1,lcc,stated: shipped/live,,
INV1-0009,What Phase 1 delivers,docs & process,docs/architecture/ai-next-step-engine-PHASE1-BUILT.md:7,docs/architecture/ai-next-step-engine-PHASE1-BUILT.md:7,lcc,stated: shipped/live,,
INV1-0010,Provider seam (Phase 1.5 — enables the local model with no code change),docs & process,docs/architecture/ai-next-step-engine-PHASE1-BUILT.md:60,docs/architecture/ai-next-step-engine-PHASE1-BUILT.md:60,lcc,stated: unspecified (finding/round note),,
